cluster_id	target	count_both	count_only_cluster	count_only_target	count_none	p.value	odds.ratio	fdr
0	FALSE	2705	135	2235	170	0.000375190683274441	1.52392578256128	0.00112557204982332
0	CITH/DOZI	135	2705	170	2235	0.000375190683274441	0.656199935353341	0.00112557204982332
1	FALSE	199	3	4741	302	0.00332455864830962	4.22474664157225	0.00677651310579145
1	CITH/DOZI	3	199	302	4741	0.00332455864830962	0.236700584636208	0.00677651310579145
2	FALSE	277	4	4663	301	0.00033098453416614	4.46941448278992	0.00112557204982332
2	CITH/DOZI	4	277	301	4663	0.000330984534166139	0.223742954217076	0.00112557204982332
3	FALSE	550	83	4390	222	1.24553687739323e-13	0.33519518481074	1.12098318965391e-12
3	CITH/DOZI	83	550	222	4390	1.24553687739323e-13	2.98333641208071	1.12098318965391e-12
4	FALSE	441	40	4499	265	0.0183007035639262	0.649460872151025	0.0274510553458893
4	CITH/DOZI	40	441	265	4499	0.0183007035639262	1.53973863997069	0.0274510553458893
5	FALSE	437	25	4503	280	0.755680926078595	1.08691696243732	0.755680926078595
5	CITH/DOZI	25	437	280	4503	0.755680926078595	0.920033484211699	0.755680926078595
6	FALSE	253	5	4687	300	0.00376472950321747	3.23828584531917	0.00677651310579145
6	CITH/DOZI	5	253	300	4687	0.00376472950321747	0.308805351894881	0.00677651310579145
7	FALSE	35	5	4905	300	0.0800198605023783	0.428223981469591	0.102882677788772
7	CITH/DOZI	5	35	300	4905	0.0800198605023783	2.33522652460559	0.102882677788772
8	FALSE	43	5	4897	300	0.199948285895574	0.526921818031903	0.224941821632521
8	CITH/DOZI	5	43	300	4897	0.199948285895574	1.89781475311666	0.224941821632521
